reg_no,reg_date,university_reg,faculty,semester,academic_status,first_name,middle_name,last_name,date_of_birth,gender,blood_group,nationality,mother_tongue,email,extra_info,home_phone,mobile_1,mobile_2,address,state,country,temp_address,temp_state,temp_country,grandfather_first_name,grandfather_middle_name,grandfather_last_name,father_first_name,father_middle_name,father_last_name,father_eligibility,father_occupation,father_office,father_office_number,father_residence_number,father_mobile_1,father_mobile_2,father_email,mother_first_name,mother_middle_name,mother_last_name,mother_eligibility,mother_occupation,mother_office,mother_office_number,mother_residence_number,mother_mobile_1,mother_mobile_2,mother_email,guardian_first_name,guardian_middle_name,guardian_last_name,guardian_eligibility,guardian_occupation,guardian_office,guardian_office_number,guardian_residence_number,guardian_mobile_1,guardian_mobile_2,guardian_email,guardian_relation,guardian_address
STUD-0001,2018-06-01,11-22-2018,Bachelor of Business Administration,BBA I,New Admission,UTTAM,RAJ,YADU,2001-05-08,MALE,B+,NEPALI,MAITHILI,student@gmail.com,,977-31-23078,977-98989898,977-91239123,KATHMANDU,2 NO,NEPAL,KATHMANDU,3 NO,NEPAL,HARI,KRISHNA,THAPA,DEMO,TEST,FATHER,BA,GOV JOB,SS GOV RESEARCH,977-31-23078,977-31-23078,977-98989898,977-91239123,father@gmail.com,DEMO,TEST,MOTHER,BA,GOV JOB,SS GOV RESEARCH,977-31-23078,977-31-23078,977-98989898,977-91239123,mother@gmail.com,DEMO,student,GUARDIAN,BA,GOV JOB,SS GOV RESEARCH,977-31-23078,977-31-23078,977-98989898,977-91239123,guardian@gmail.com,FATHER,KATHMANDU
STUD-0002,2018-06-02,11-22-2019,Bachelor of Business Administration,BBA I,Transfer In,KAUSHAL,KUMAR,KSHETRI,1988-05-31,MALE,A+,INDIAN,HINDI,student1@gmail.com,,977-31-23079,977-98989898,977-91239123,KATHMANDU,BAGMATI8,INDIA,KATHMANDU,4 NO,NEPAL,HARI,KRISHNA,THAPA,DEMO,TEST,FATHER,MA,GOV JOB,SS GOV RESEARCH,977-31-23079,977-31-23079,977-98989899,977-91239124,father1@gmail.com,DEMO,TEST,MOTHER,MA,GOV JOB,SS GOV RESEARCH,977-31-23079,977-31-23079,977-98989899,977-91239124,mother1@gmail.com,DEMO,TEST,GUARDIAN,MA,GOV JOB,SS GOV RESEARCH,977-31-23079,977-31-23079,977-98989899,977-91239124,guardian1@gmail.com,FATHER,KATHMANDU
STUD-0003,2018-06-03,11-22-2020,Class Ten,Class 10A,Continue,PRIYANSHU,DEVI,SHARMA,1975-06-24,MALE,A-,NEPALI,NEPALI,student2@gmail.com,,977-31-23080,977-98989898,977-91239123,KATHMANDU,UP,NEPAL,KATHMANDU,5 NO,NEPAL,HARI,KRISHNA,THAPA,DEMO,TEST,FATHER,BA,GOV JOB,SS GOV RESEARCH,977-31-23080,977-31-23080,977-98989900,977-91239125,father2@gmail.com,DEMO,TEST,MOTHER,BA,GOV JOB,SS GOV RESEARCH,977-31-23080,977-31-23080,977-98989900,977-91239125,mother2@gmail.com,DEMO,TEST,GUARDIAN,BA,GOV JOB,SS GOV RESEARCH,977-31-23080,977-31-23080,977-98989900,977-91239125,guardian2@gmail.com,FATHER,KATHMANDU
STUD-0004,2018-06-04,11-22-2021,Bachelor of Business Administration,BBA I,New Admission,PAYAL,,TRIMURTI,1962-07-17,MALE,O+,INDIAN,THARU,student3@gmail.com,,977-31-23081,977-98989898,977-91239123,KATHMANDU,PUNJAB,INDIA,KATHMANDU,6 NO,NEPAL,HARI,KRISHNA,THAPA,DEMO,TEST,FATHER,MA,GOV JOB,SS GOV RESEARCH,977-31-23081,977-31-23081,977-98989901,977-91239126,father3@gmail.com,DEMO,TEST,MOTHER,MA,GOV JOB,SS GOV RESEARCH,977-31-23081,977-31-23081,977-98989901,977-91239126,mother3@gmail.com,DEMO,TEST,GUARDIAN,MA,GOV JOB,SS GOV RESEARCH,977-31-23081,977-31-23081,977-98989901,977-91239126,guardian3@gmail.com,FATHER,KATHMANDU
STUD-0005,2018-06-05,11-22-2022,Bachelor of Business Administration,BBA I,Transfer In,HARI,,ADHIKARI,1949-08-09,MALE,B+,NEPALI,ENGLISH,student4@gmail.com,,977-31-23082,977-98989898,977-91239123,KATHMANDU,3 NO,NEPAL,KATHMANDU,7 NO,NEPAL,HARI,KRISHNA,THAPA,DEMO,TEST,FATHER,BA,GOV JOB,SS GOV RESEARCH,977-31-23082,977-31-23082,977-98989902,977-91239127,father4@gmail.com,DEMO,TEST,MOTHER,BA,GOV JOB,SS GOV RESEARCH,977-31-23082,977-31-23082,977-98989902,977-91239127,mother4@gmail.com,DEMO,TEST,GUARDIAN,BA,GOV JOB,SS GOV RESEARCH,977-31-23082,977-31-23082,977-98989902,977-91239127,guardian4@gmail.com,FATHER,KATHMANDU
STUD-0006,2018-06-06,11-22-2023,Class Ten,Class 10A,Continue,UMESH,,GOSWAMI,1936-09-01,FEMALE,A,INDIAN,MAITHILI,student5@gmail.com,,977-31-23083,977-98989898,977-91239123,KATHMANDU,BAGMATI9,INDIA,KATHMANDU,8 NO,NEPAL,HARI,KRISHNA,THAPA,DEMO,TEST,FATHER,MA,GOV JOB,SS GOV RESEARCH,977-31-23083,977-31-23083,977-98989903,977-91239128,father5@gmail.com,DEMO,TEST,MOTHER,MA,GOV JOB,SS GOV RESEARCH,977-31-23083,977-31-23083,977-98989903,977-91239128,mother5@gmail.com,DEMO,TEST,GUARDIAN,MA,GOV JOB,SS GOV RESEARCH,977-31-23083,977-31-23083,977-98989903,977-91239128,guardian5@gmail.com,FATHER,KATHMANDU
STUD-0007,2018-06-07,11-22-2024,Bachelor of Business Administration,BBA I,New Admission,KESHAV,,BADAL,1923-09-25,FEMALE,O-,NEPALI,HINDI,student6@gmail.com,,977-31-23084,977-98989898,977-91239123,KATHMANDU,UP,NEPAL,KATHMANDU,9 NO,NEPAL,HARI,KRISHNA,THAPA,DEMO,TEST,FATHER,BA,GOV JOB,SS GOV RESEARCH,977-31-23084,977-31-23084,977-98989904,977-91239129,father6@gmail.com,DEMO,TEST,MOTHER,BA,GOV JOB,SS GOV RESEARCH,977-31-23084,977-31-23084,977-98989904,977-91239129,mother6@gmail.com,DEMO,TEST,GUARDIAN,BA,GOV JOB,SS GOV RESEARCH,977-31-23084,977-31-23084,977-98989904,977-91239129,guardian6@gmail.com,FATHER,KATHMANDU
STUD-0008,2018-06-08,11-22-2025,Bachelor of Business Administration,BBA I,Transfer In,ROHIT,,KAPALI,1910-10-18,FEMALE,B+,INDIAN,NEPALI,student7@gmail.com,,977-31-23085,977-98989898,977-91239123,KATHMANDU,PUNJAB,INDIA,KATHMANDU,10 NO,NEPAL,HARI,KRISHNA,THAPA,DEMO,TEST,FATHER,MA,GOV JOB,SS GOV RESEARCH,977-31-23085,977-31-23085,977-98989905,977-91239130,father7@gmail.com,DEMO,TEST,MOTHER,MA,GOV JOB,SS GOV RESEARCH,977-31-23085,977-31-23085,977-98989905,977-91239130,mother7@gmail.com,DEMO,TEST,GUARDIAN,MA,GOV JOB,SS GOV RESEARCH,977-31-23085,977-31-23085,977-98989905,977-91239130,guardian7@gmail.com,FATHER,KATHMANDU
STUD-0009,2018-06-09,11-22-2026,Class Ten,Class 10A,Continue,HIMAL,MALL,DHOJ,2001-05-08,MALE,B+,NEPALI,THARU,student8@gmail.com,,977-31-23086,977-98989898,977-91239123,KATHMANDU,4 NO,NEPAL,KATHMANDU,11 NO,NEPAL,HARI,KRISHNA,THAPA,DEMO,TEST,FATHER,BA,GOV JOB,SS GOV RESEARCH,977-31-23086,977-31-23086,977-98989906,977-91239131,father8@gmail.com,DEMO,TEST,MOTHER,BA,GOV JOB,SS GOV RESEARCH,977-31-23086,977-31-23086,977-98989906,977-91239131,mother8@gmail.com,DEMO,TEST,GUARDIAN,BA,GOV JOB,SS GOV RESEARCH,977-31-23086,977-31-23086,977-98989906,977-91239131,guardian8@gmail.com,FATHER,KATHMANDU
STUD-0010,2018-06-10,11-22-2027,Bachelor of Business Administration,BBA I,New Admission,MAHESH,KUMAR,CHAUDHARI,1988-05-31,FEMALE,A+,INDIAN,ENGLISH,student9@gmail.com,,977-31-23087,977-98989898,977-91239123,KATHMANDU,BAGMATI10,INDIA,KATHMANDU,12 NO,NEPAL,HARI,KRISHNA,THAPA,DEMO,TEST,FATHER,MA,GOV JOB,SS GOV RESEARCH,977-31-23087,977-31-23087,977-98989907,977-91239132,father9@gmail.com,DEMO,TEST,MOTHER,MA,GOV JOB,SS GOV RESEARCH,977-31-23087,977-31-23087,977-98989907,977-91239132,mother9@gmail.com,DEMO,TEST,GUARDIAN,MA,GOV JOB,SS GOV RESEARCH,977-31-23087,977-31-23087,977-98989907,977-91239132,guardian9@gmail.com,FATHER,KATHMANDU
